Player,AB,H,2B,3B,HR,BB,HBP
Bennitt Brandon (Illinois Tech),101,37,9,0,7,15,4
"Bermeo, Nico (Aurora)",101,30,6,0,4,15,5
Kalekas Cj (Dominican),102,28,4,0,0,10,1
Gutsfeld Tyler (Illinois Tech),103,41,8,2,7,8,2
Sproule Samuel (Illinois Tech),103,41,6,0,0,6,0
"Sartori, Justin (Aurora)",104,39,7,0,6,10,3
"Labedz, Kyle (MSOE)",104,39,6,1,3,8,2
"Overley, Micah (MSOE)",104,30,6,2,2,10,6
Devin Geary (St. Norbert),105,27,6,1,1,10,5
"Ambuel, Jacob (Aurora)",106,39,8,0,6,12,4
Caden Uhlenbrauck (St. Norbert),108,29,3,1,0,5,3
"Stejskal, Ryan (Rockford)",110,36,7,1,5,6,1
Trevor Reinhardt (St. Norbert),113,33,7,1,3,7,1
