Player,AB,H,2B,3B,HR,BB,HBP
"Slota, Brendan",6,1,0,0,0,0,1
"Weber, McCade",0,0,0,0,0,0,0
"White, Jacob",1,0,0,0,0,0,0
"Williams, Kyle",26,7,2,0,1,3,1
"Wilson, Cole",147,44,5,1,5,8,6
"Wilson, Eddie",0,0,0,0,0,0,0
"Bieniek, Chris",0,0,0,0,0,0,0
"Friedrich, Hank",1,0,0,0,0,0,0
Kostecka Dalton,0,0,0,0,0,0,0
Bermeo Nico,158,58,14,1,7,21,11
Ambuel Jacob,173,67,16,1,6,14,4
Sartori Justin,160,65,14,0,10,19,5
Wedekind Jett,110,35,9,0,7,28,9
Panico Nik,29,5,1,1,2,2,4
Garcia Carlos,0,0,0,0,0,0,0
Reinhardt Josh,122,44,8,2,6,13,4
Meinert Collin,107,32,6,2,3,20,7
Angelo Derek,56,18,1,1,1,8,3
Baldassano Nick,29,8,1,0,0,4,1
Seefeldt Jack,9,0,0,0,0,1,1
Curcio Dominick,104,39,4,1,2,30,3
Fisher Jack,0,0,0,0,0,0,0
Harvey Sam,0,0,0,0,0,0,0
Cazares Cj,0,0,0,0,0,0,0
Malmberg Nick,0,0,0,0,0,0,0
Patton Tyler,32,10,4,0,1,9,0
Preissing Tyler,0,0,0,0,0,0,0
Zimmerman Justin,0,0,0,0,0,0,0
Wray Jon,12,4,1,1,0,1,0
Ruch Spencer,53,14,0,0,0,5,1
Baer Max,0,0,0,0,0,0,0
Naylor Brenden,82,25,5,0,0,9,5
Henehan Brian,0,0,0,0,0,0,0
Miller Bryce,0,0,0,0,0,0,0
Welbes Jacob,0,0,0,0,0,0,0
Rivera Sean,99,27,4,4,2,23,4
"Heiden, Nick",1,0,0,0,0,0,0
"Haakenson, Johannes",149,54,10,9,2,39,1
"Hahn, Daniel",151,53,6,2,2,29,3
"Tillmon, Sean",154,58,14,9,3,29,1
"Juergensen, Jimmy",157,52,15,2,7,18,1
"Fike, Dillan",78,16,3,0,0,13,1
"Largent, Tristan",95,34,8,1,2,13,10
"Aguirre, Cole",41,10,3,1,0,6,6
"Flynn, Kyle",136,39,14,1,1,13,3
"Owens, Jack",10,1,0,0,0,2,0
"Sommers,Will",20,5,0,0,0,2,0
"Green, Ryan",0,0,0,0,0,0,0
"Bartczak, Tyler",4,0,0,0,0,0,0
"Rooney,Chris",0,0,0,0,0,0,0
"Nebel,Max",0,0,0,0,0,0,0
"Wills, Beau",0,0,0,0,0,0,0
"Aguiniga, Josh",90,29,5,1,1,12,2
"Armstrong, Sterlin",27,6,1,0,0,3,0
"Breon, Blake",0,0,0,0,0,0,0
"Bruckner, Luke",0,0,0,0,0,0,0
"Burns, Owen",0,0,0,0,0,0,0
"Cleveland, Brynden",48,13,2,0,0,5,3
"Drummond, Owen",3,1,0,0,0,0,0
"Gette, Holter",0,0,0,0,0,0,0
"Hribernik, Jack",0,0,0,0,0,0,0
"Klein, Nick",0,0,0,0,0,0,0
"Krauseneck, Connor",0,0,0,0,0,0,0
"Maier, Cody",11,4,0,0,0,4,1
"Miller, Matt",142,47,7,0,2,20,2
"Niedfeldt, Brandon",29,10,3,0,0,3,1
"Russ,David",0,0,0,0,0,0,0
"Spiers, Ben",0,0,0,0,0,0,0
"Ward,Matthew",0,0,0,0,0,0,0
"Slome, Zach",1,0,0,0,0,0,0
Luz Brennan,1,0,0,0,0,0,0
Murray Tyler,2,0,0,0,0,0,0
Javoroski Andrew,0,0,0,0,0,0,0
Hockers Jt,0,0,0,0,0,0,0
Machamer Michael,0,0,0,0,0,0,0
K. Flynn,16,5,0,0,2,1,0
"Goodwin, Connor",166,58,3,0,3,15,6
"Prindle, Kyle",139,48,9,1,0,36,5
"Sagan, Kyle",172,71,17,1,8,23,8
"Kalafut, Joseph",137,47,12,4,8,43,6
"Brisack, Brevin",39,10,4,1,0,3,3
"Holewinski, Cooper",138,32,6,1,1,14,5
"Carney, Jacob",100,23,10,0,1,7,2
"Bentivegna, Daniel",84,25,2,0,1,8,2
"Minnear, Jacob",2,0,0,0,0,1,0
"Kalscheur, Brooks",56,15,4,0,0,9,4
"DeChristina, Jackson",55,16,3,0,0,4,3
"Ambrosy, Ryan",137,38,4,0,0,15,2
"Jungers, Kyle",0,0,0,0,0,0,0
"Bacskai, Nate",0,0,0,0,0,0,0
"Harper, Phillip",0,0,0,0,0,0,0
"Grosse, Justin",0,0,0,0,0,0,0
"Williams, Aidan",0,0,0,0,0,0,0
"Dunfee, Conner",0,0,0,0,0,0,0
"Borcharding, Carter",20,3,0,0,0,2,1
"Carrington, Dylan",32,12,1,0,1,4,4
"Collier, Ben",0,0,0,0,0,0,0
"Davis, Colby",42,15,0,0,0,3,3
"Harris, Ryan",8,0,0,0,0,0,0
"Holland, Nick",0,0,0,0,0,0,0
"Hough, Caden",0,0,0,0,0,0,0
"Kleve, Kody",0,0,0,0,0,0,0
"Krenn, Jacob",0,0,0,0,0,0,0
"Manthei, Nick",0,0,0,0,0,0,0
"Mixey, Ryan",0,0,0,0,0,0,0
"Pit, Jared",7,2,0,0,0,2,0
"Pureza, Lennard",1,0,0,0,0,0,0
"Redner, Garrett",0,0,0,0,0,0,0
"Richter, Carson",65,15,4,0,0,7,2
"Rizzotto, Dominic",0,0,0,0,0,0,0
"Schatz, Anthony",0,0,0,0,0,0,0
"Stone, Leo",0,0,0,0,0,0,0
"Vrana, Gavin",0,0,0,0,0,0,0
"Zdziarski, Alek",5,1,0,0,0,1,0
Rademan Logan,150,44,13,0,0,17,4
Walker Gus,134,50,14,2,0,17,12
Bornick James,150,44,8,0,3,12,8
Landowski Jonah,128,33,8,2,3,26,5
Palmquist Riley,72,28,9,0,1,7,7
Blum Tyler,16,3,0,0,0,5,5
Buehring Ben,12,1,1,0,0,2,0
Dohms Caleb,64,16,2,0,0,7,9
Zackrison Brady,146,42,12,3,2,16,9
Knorr Robbie,119,29,4,1,0,20,2
Laffoon Jeremy,35,10,3,0,0,7,1
Pease Dylan,22,5,0,1,0,0,0
Kiszka Albert,78,22,2,0,0,9,7
Schroeder Andrew,93,30,7,0,4,17,3
Middaugh Taylor,1,0,0,0,0,0,0
Koscinski Joe,6,2,1,0,0,2,0
Fenske Kyler,9,2,1,0,0,1,1
Davis Dylan,0,0,0,0,0,0,0
Richard Riley,0,0,0,0,0,0,0
