Player,AB,H,2B,3B,HR,BB,HBP
Brandon Wojciechowski (SAU),36,1,0,0,0,5,1
Parker Schneider (MIL),1,1,1,0,0,1,0
Gavin Thimm (HUS),1,1,0,0,0,0,0
Jim Wittrock (HUS),4,3,0,0,0,0,0
Jordan Stephans (HAR),3,2,1,0,0,0,1
Clayton Uselman (JOH),3,2,0,0,2,2,0
Mitch Voit (KEW),23,15,1,1,3,2,2
Trace Jacobson (MIL),10,6,3,0,0,0,0
Justin Swanson (JOH),5,3,1,0,0,0,0
Keegan Johnston (OAK),5,3,1,0,0,0,0
Connor Burke (RUB),5,3,0,0,1,0,0
Austin Pielsnik (RUB),5,3,1,0,0,0,0
Aaron Simmons (KEW),12,7,3,0,0,2,0
Braxton Kohn (CLY),11,6,1,0,0,0,1
Ayden Schauer (CLY),19,10,2,0,0,2,0
Troy White (CED),18,9,2,0,0,2,0
Matt Mueller (HUS),8,4,0,0,1,2,0
Ryan Kaul (CLY),6,3,1,0,0,0,1
Michael Heyerdahl (MIL),4,2,0,0,0,0,0
Thomas Dickmann (SAU),2,1,1,0,0,0,1
Dan Boklewski (SAU),2,1,0,0,0,2,0
Braycen Burg (RUB),2,1,0,0,0,0,0
Ray Lauersdorf (JOH),13,6,1,0,0,0,0
Danny Llanas (KEW),13,6,3,0,2,0,0
Nolan Vincent (KEW),13,6,1,0,0,1,0
Will Iloncaie (CLY),30,13,1,0,2,4,0
Nathan Tisdale (LEB),7,3,1,0,0,1,0
Sean McCann (MIL),33,14,1,0,0,3,0
Luke Malmanger (MIL),19,8,2,0,0,4,3
Sean Menzel (KEW),29,12,1,1,0,6,0
Miller Wallace (CLY),30,12,3,0,0,3,2
Paul Terriquez (SAU),5,2,0,0,0,0,0
Nick Erd (KEW),5,2,1,0,0,0,0
Martin Gonzalez (RUB),5,2,0,0,0,0,0
Jalen Gellings (KEW),33,13,3,0,0,0,0
Jason Fry (HEL),29,11,2,0,2,1,0
Nick Vogel (RUB),29,11,3,0,0,1,0
Michael Knutson (JOH),16,6,2,0,0,1,0
Jacob Arndt (ASH),8,3,1,0,0,0,0
McClain Ebner (LEB),8,3,0,0,0,5,0
Taylor Walter (CLY),14,5,0,0,0,4,0
James Muenchow (CLY),17,6,2,0,0,6,0
Aaron Laskowski (MIL),20,7,0,0,0,1,1
Jackson Karpelenia (NEO),21,7,1,0,0,3,1
Taylor Piel (CED),18,6,2,0,0,8,0
Alex Burkel (HUS),18,6,2,0,1,2,0
Alex Soto (LEB),15,5,2,1,0,5,0
Ian Zahn (OAK),9,3,1,0,0,2,0
Connor Goodwin (RUB),9,3,0,0,0,1,0
Jayson Walczak-Zelem (RUB),9,3,0,0,0,5,0
Cameron Walling (JOH),6,2,1,0,0,1,0
Ian Olszewski (JOH),3,1,0,0,0,0,0
Craig Rosine (NEO),3,1,0,0,0,0,0
Mitchell Springer (HEL),3,1,0,0,0,0,0
Kris Agnew (MIL),3,1,0,0,0,1,1
Aaron Huibregtse (SAU),3,1,0,0,0,0,0
Nolan Peterson (SAU),3,1,1,0,0,0,0
Jacob Norris (SAU),3,1,0,0,0,0,0
